"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4,159
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4,160
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4,161
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4,163
6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4,165
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,169
5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4,171
5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4,172
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4,173
5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4,174
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4,176
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4,177
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4,178
7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4,179
5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4,182
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,184
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,185
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,186
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,187
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,188
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,189
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,190
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,191
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,192
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,194
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,195
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,197
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,199
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,200
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,202
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,203
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,206
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,208
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,209
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,210
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,212
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,213
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,214
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,215
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,218
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,220
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,222
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,223
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,224
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,226
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,228
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,229
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,230
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,231
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,232
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,234
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5,236
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,238
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,239
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,240
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,242
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,244
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,246
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,247
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,250
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,251
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,255
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,257
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5,258
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,259
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,260
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,262
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,264
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,265
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,266
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,270
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,272
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,274
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,276
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,277
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,278
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,281
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,282
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,283
7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5,284
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,285
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,286
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5,288
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,289
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,290
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5,291
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,294
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5,295
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,296
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,300
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,301
5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,302
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5,303
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5,304
6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,306
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5,307
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,308
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,309
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5,310
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,311
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,312
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,313
7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5,315
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5,316
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,318
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,319
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,320
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,322
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,323
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,325
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5,330
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5,335
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,337
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,338
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5,340
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5,341
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5,342
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,343
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,344
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,345
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,346
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5,347
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,348
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5,349
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5,350
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,352
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,353
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,354
6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5,355
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,356
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,357
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,359
5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1,5,363
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,365
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5,366
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5,368
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5,372
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,373
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,374
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,380
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,381
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5,384
6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,5,385
7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5,386
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,387
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,388
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,389
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5,390
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5,391
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,393
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,394
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5,395
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,396
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5,397
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5,398
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,400
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,401
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,402
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5,403
6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5,404
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5,406
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5,408
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5,409
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5,410
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5,411
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5,412
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,413
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,414
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5,415
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5,416
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,418
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5,419
6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5,421
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,423
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5,425
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,427
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5,428
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,429
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,430
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5,431
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,432
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,433
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5,436
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,440
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,441
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,445
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,447
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,449
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,451
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,454
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,455
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,457
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,458
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5,459
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5,460
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,461
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,464
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5,466
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,467
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5,468
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,469
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,471
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,473
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5,474
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5,475
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,476
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5,479
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,480
6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,483
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,484
8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5,485
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,486
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,487
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5,488
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,489
