"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,193
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,196
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,205
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,207
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,208
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,210
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,212
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,215
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,217
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,218
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,220
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,226
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,229
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,231
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,233
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,234
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,236
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,237
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,240
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,241
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,242
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,249
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,251
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,252
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,253
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,260
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,262
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,265
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,269
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5,272
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,274
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,279
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,281
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,282
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,288
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5,295
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,296
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,299
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,300
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,303
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,308
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,312
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,317
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5,318
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,319
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,321
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,325
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5,328
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5,329
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,330
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,331
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,332
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,335
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,336
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,339
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,342
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5,343
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,345
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,346
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,347
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,348
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,349
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,350
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,353
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,354
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,355
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,363
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,365
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,366
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,367
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,368
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,371
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,372
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,374
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,376
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,377
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,378
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,381
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,382
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,384
13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,385
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,394
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,398
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,399
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,400
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,406
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,408
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,410
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,416
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,417
7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,421
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,422
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,425
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,426
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,434
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,436
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,444
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,450
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,451
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,462
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,464
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,466
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,469
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,471
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,472
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,474
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,475
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,476
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,478
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,481
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,482
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,487
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,489
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,490
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5,502
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,504
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,507
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,508
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,511
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,513
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,516
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,521
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,524
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,525
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,527
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,528
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,531
9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5,533
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,534
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5,538
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,541
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5,543
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,546
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,549
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,550
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,551
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,554
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,555
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,556
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,560
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,561
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,567
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,568
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,570
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,571
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,572
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,573
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,574
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,576
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,579
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,580
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,584
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,587
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,588
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,590
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,593
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,594
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,595
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,598
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,607
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,611
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,612
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,613
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,620
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,623
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,625
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,626
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,629
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,630
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,633
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5,635
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,640
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,642
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,644
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,645
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,646
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5,647
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5,648
8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5,652
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,653
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5,659
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,662
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,663
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,664
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,665
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,667
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,678
7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5,679
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,688
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,693
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5,698
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,702
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,703
7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,707
7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5,708
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,709
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,711
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,713
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5,720
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,723
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,725
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5,726
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,728
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,729
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,731
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,732
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,733
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,735
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,736
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5,737
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5,741
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,745
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,747
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,748
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,749
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,750
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,751
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,753
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,754
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,759
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,763
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,768
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,770
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,771
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,773
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,776
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,780
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,785
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,787
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,791
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,794
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,795
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,800
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,801
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,803
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,806
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,807
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,811
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,813
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,819
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,822
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,825
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,834
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,835
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,837
