"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id","quality.hat","match"
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,101,6,FALSE
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,102,5,FALSE
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4,104,6,FALSE
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,108,5,FALSE
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,110,5,FALSE
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4,112,6,FALSE
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4,114,6,FALSE
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,121,5,FALSE
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,123,6,FALSE
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,126,6,FALSE
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,127,6,FALSE
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,128,5,FALSE
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4,135,6,FALSE
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4,136,6,FALSE
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4,138,5,FALSE
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4,141,6,FALSE
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,145,5,FALSE
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4,148,6,FALSE
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4,158,5,FALSE
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4,162,6,FALSE
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,164,6,FALSE
6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4,166,5,FALSE
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,167,5,FALSE
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,168,6,FALSE
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4,170,5,FALSE
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,175,6,FALSE
6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4,180,6,FALSE
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,181,6,FALSE
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4,183,6,FALSE
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,193,6,FALSE
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,196,6,FALSE
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,198,6,FALSE
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,201,6,FALSE
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,204,5,TRUE
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,205,6,FALSE
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,207,5,TRUE
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,211,5,TRUE
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,216,6,FALSE
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,217,5,TRUE
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,219,5,TRUE
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,221,6,FALSE
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,225,6,FALSE
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,227,6,FALSE
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,233,5,TRUE
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,235,6,FALSE
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,237,6,FALSE
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,241,6,FALSE
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,243,6,FALSE
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,245,6,FALSE
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,248,5,TRUE
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,249,6,FALSE
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,252,6,FALSE
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,253,5,TRUE
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,254,5,TRUE
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,256,6,FALSE
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,261,6,FALSE
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,263,6,FALSE
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,267,5,TRUE
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,268,6,FALSE
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,269,6,FALSE
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,271,5,TRUE
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,273,6,FALSE
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,275,6,FALSE
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,279,6,FALSE
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,280,6,FALSE
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5,287,6,FALSE
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5,292,5,TRUE
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,293,6,FALSE
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,297,5,TRUE
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,298,5,TRUE
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,299,5,TRUE
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,305,6,FALSE
6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,314,6,FALSE
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5,317,5,TRUE
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,321,5,TRUE
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5,324,6,FALSE
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,326,6,FALSE
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5,327,6,FALSE
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,328,6,FALSE
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5,329,5,TRUE
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,331,6,FALSE
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,332,5,TRUE
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5,333,6,FALSE
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,334,6,FALSE
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,336,6,FALSE
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,339,5,TRUE
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5,351,6,FALSE
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,358,5,TRUE
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,360,5,TRUE
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,361,6,FALSE
5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5,362,5,TRUE
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5,364,6,FALSE
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,367,6,FALSE
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,369,5,TRUE
7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5,370,6,FALSE
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,371,5,TRUE
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5,375,5,TRUE
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,376,5,TRUE
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,377,6,FALSE
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,378,6,FALSE
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5,379,5,TRUE
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,382,5,TRUE
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,383,6,FALSE
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5,392,5,TRUE
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,399,6,FALSE
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,405,6,FALSE
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,407,5,TRUE
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5,417,5,TRUE
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5,420,6,FALSE
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,422,5,TRUE
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,424,6,FALSE
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5,426,6,FALSE
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,434,5,TRUE
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,435,5,TRUE
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5,437,5,TRUE
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,438,5,TRUE
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,439,6,FALSE
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,442,6,FALSE
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,443,6,FALSE
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,444,6,FALSE
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,446,6,FALSE
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,448,5,TRUE
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,450,6,FALSE
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,452,6,FALSE
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,453,5,TRUE
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,456,6,FALSE
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5,462,6,FALSE
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,463,5,TRUE
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,465,6,FALSE
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5,470,5,TRUE
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,472,6,FALSE
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,477,6,FALSE
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5,478,5,TRUE
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,481,6,FALSE
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,482,5,TRUE
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,493,6,FALSE
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,496,6,FALSE
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,501,6,FALSE
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,505,5,TRUE
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,511,5,TRUE
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5,514,5,TRUE
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,518,5,TRUE
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5,524,6,FALSE
7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,525,5,TRUE
6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5,526,6,FALSE
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,527,6,FALSE
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,528,5,TRUE
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,531,5,TRUE
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5,536,6,FALSE
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,537,6,FALSE
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,539,6,FALSE
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5,541,6,FALSE
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5,542,6,FALSE
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,543,5,TRUE
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5,545,5,TRUE
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,546,5,TRUE
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,549,6,FALSE
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5,551,6,FALSE
6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5,553,5,TRUE
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,557,5,TRUE
9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5,561,6,FALSE
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,562,5,TRUE
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5,566,6,FALSE
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,570,6,FALSE
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5,571,5,TRUE
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,574,5,TRUE
7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,576,5,TRUE
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,579,6,FALSE
8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5,580,6,FALSE
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,583,6,FALSE
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,584,5,TRUE
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,585,6,FALSE
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,588,6,FALSE
7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,590,5,TRUE
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,591,6,FALSE
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,594,6,FALSE
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,596,6,FALSE
6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,597,6,FALSE
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,599,5,TRUE
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,601,6,FALSE
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,602,6,FALSE
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5,608,5,TRUE
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5,610,6,FALSE
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,615,5,TRUE
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5,621,5,TRUE
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5,629,6,FALSE
7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5,634,6,FALSE
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,639,6,FALSE
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5,640,6,FALSE
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5,644,6,FALSE
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5,646,6,FALSE
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,647,6,FALSE
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,648,5,TRUE
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,650,6,FALSE
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5,652,6,FALSE
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5,653,6,FALSE
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,656,5,TRUE
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,657,5,TRUE
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,661,6,FALSE
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5,663,6,FALSE
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5,664,6,FALSE
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,670,5,TRUE
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,672,5,TRUE
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,673,5,TRUE
7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,674,6,FALSE
6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,5,675,5,TRUE
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5,676,6,FALSE
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,678,5,TRUE
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5,680,6,FALSE
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5,681,6,FALSE
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5,682,6,FALSE
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,683,6,FALSE
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,688,5,TRUE
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,689,6,FALSE
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,692,6,FALSE
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5,697,6,FALSE
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,698,6,FALSE
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5,699,6,FALSE
6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5,700,5,TRUE
6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5,701,6,FALSE
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5,702,5,TRUE
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5,704,5,TRUE
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,705,5,TRUE
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5,707,6,FALSE
7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,711,5,TRUE
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5,715,6,FALSE
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5,718,6,FALSE
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,724,6,FALSE
