"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,256
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,261
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,263
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,267
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,268
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,269
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,271
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,273
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,275
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,279
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,280
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5,287
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5,292
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,293
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,297
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,298
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,299
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,305
6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,314
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5,317
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,321
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5,324
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,326
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5,327
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,328
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5,329
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,331
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,332
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5,333
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,334
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,336
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,339
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5,351
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,358
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,360
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,361
5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5,362
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5,364
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,367
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,369
7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5,370
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,371
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5,375
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,376
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,377
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,378
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5,379
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,382
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,383
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5,392
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,399
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,405
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,407
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5,417
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5,420
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,422
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,424
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5,426
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,434
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,435
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5,437
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,438
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,439
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,442
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,443
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,444
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,446
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,448
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,450
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,452
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,453
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,456
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5,462
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,463
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,465
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5,470
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,472
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,477
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5,478
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,481
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,482
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,493
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,496
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,501
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,505
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,511
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5,514
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,518
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5,524
7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,525
6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5,526
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,527
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,528
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,531
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5,536
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,537
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,539
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5,541
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5,542
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,543
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5,545
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,546
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,549
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5,551
6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5,553
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,557
9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5,561
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,562
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5,566
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,570
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5,571
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,574
7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,576
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,579
8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5,580
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,583
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,584
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,585
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,588
7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,590
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,591
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,594
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,596
6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,597
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,599
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,601
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,602
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5,608
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5,610
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,615
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5,621
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5,629
7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5,634
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,639
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5,640
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5,644
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5,646
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,647
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,648
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,650
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5,652
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5,653
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,656
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,657
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,661
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5,663
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5,664
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,670
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,672
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,673
7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,674
6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,5,675
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5,676
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,678
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5,680
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5,681
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5,682
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,683
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,688
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,689
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,692
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5,697
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,698
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5,699
6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5,700
6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5,701
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5,702
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5,704
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,705
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5,707
7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,711
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5,715
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5,718
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,724
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5,728
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5,731
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5,737
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5,739
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5,741
7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5,748
7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5,750
7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5,753
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5,755
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5,757
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5,764
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,767
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5,768
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,772
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,784
9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5,785
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5,786
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,5,792
6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5,794
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5,804
8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5,808
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,809
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,810
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,811
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,813
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5,816
7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5,822
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5,823
6.8,0.28,0.44,11.5,0.04,58,223,0.9969,3.22,0.56,9.5,5,824
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5,827
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5,828
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5,829
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,832
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,834
9.4,0.3,0.32,10.7,0.029,14,111,0.9958,2.85,0.42,10.6,5,836
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5,837
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5,838
8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5,843
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,846
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,850
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,851
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5,858
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5,861
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5,862
